u,v,dist
569198774,4304674927,8.33065058089
4304674927,569198774,8.33065058089
653109406,653109408,311.329340186
653109408,653109406,311.329340186
653109408,653109409,150.546328547
653109409,653109408,150.546328547
4978929724,4978929103,65.3616704747
4978929103,4978929724,65.3616704747
4979143117,4979142328,62.3925628783
4979142328,4979143117,62.3925628783
4978896357,4978894806,137.160871759
4978894806,4978896357,137.160871759
4972483385,4972483357,48.5307985364
4972483357,4972483385,48.5307985364
7070862304,7070862300,128.892566402
7070862300,7070862304,128.892566402
6709300442,6709300441,62.2709811889
6709300441,6709300442,62.2709811889
4977206596,4977206602,49.2743961044
4977206602,4977206596,49.2743961044
4977206602,4977206601,96.2749774655
4977206601,4977206602,96.2749774655
4977091407,4977091406,98.3980742685
4977091406,4977091407,98.3980742685
6205702045,6714907337,1383.96856329
6714907337,6709193517,165.114964717
6709193517,6205702058,114.578199488
6205702058,6205702066,396.934237194
6205702066,1364534602,115.929794975
1364534602,1698245643,105.65862675
1698245643,1364534640,28.2558322331
4976869338,4976869337,61.1515799702
4976869337,4976869338,61.1515799702
4978331923,4978331922,35.9272248525
4978331922,4978331923,35.9272248525
4976868498,4976868497,47.2809856526
4976868497,4976868498,47.2809856526
4978880432,4978879459,47.2141156606
4978879459,4978880432,47.2141156606
4978879459,4978880194,270.904106317
4978880194,4978879459,270.904106317
4972481155,4972481160,98.9184411252
4972481160,4972481155,98.9184411252
4972481160,4972481191,36.6973920097
4972481191,4972481160,36.6973920097
4972481191,4972481124,48.9328434264
4972481124,4972481191,48.9328434264
4972481124,4972481008,125.443991185
4972481008,4972481124,125.443991185
4972481008,4972480947,55.352229239
4972480947,4972481008,55.352229239
4972480947,4972480513,121.131749245
4972480513,4972480947,121.131749245
4972480513,4972480477,48.37757196
4972480477,4972480513,48.37757196
4976870503,4972482065,201.343930029
4972482065,4976870503,201.343930029
6715061021,6715061017,174.754987455
6715061017,6715061021,174.754987455
4979001607,4978979729,158.276920907
4978979729,4979001607,158.276920907
4978979729,4978979027,135.163978521
4978979027,4978979729,135.163978521
4978979027,4978999651,154.051995806
4978999651,4978979027,154.051995806
4977206602,4977206611,279.412799545
4977206611,4977206602,279.412799545
4994112168,4994112191,222.016536509
4994112191,4994112168,222.016536509
4972480399,4972480788,138.648047549
4972480788,4972480399,138.648047549
4972480788,4972480814,150.949726868
4972480814,4972480788,150.949726868
4983806800,6715305172,134.118269999
6715305172,4983806800,134.118269999
6715305172,4983806799,49.1295688269
